,分ち書き
374,　＊しらかわ（しろあまだい）：甘鯛の中でもとりわけ珍重される高級魚である
375,　しかも今回は4㎏を超える大物とのこと
376,　昨年末に仕入れたものを最初に塩で〆て水分を抜き、酢洗いした後で昆布〆にするという最良の仕事が施されている
377,　ねっとりとした舌触りと旨みを2枚づけで堪能
378,＊鯖：産地は失念したが、こちらも〆具合が絶妙
379,　これも2枚づけで握られた
380,＊くえ：千葉の船形で上がったものとのこと
381,　これも十分に寝かせて、アミノ酸を活性化させている
382,　霜降りにしてさらに旨味がアップ
383,＊あんきも：薄味で煮上げた塊が皿で運ばれた
384,　これをカットしていくが、断面のオレンジ色のマーブル模様は、オキアミを食べている証拠とのこと
385,　濃厚な味わいは、下手なフォアグラなどよりずっと美味い
386,　ここでこれも後で出される「毛ガニ」を、生の状態で見せてくれた
387,　手に持った様子からして、ずっしりと身が詰まっていることが窺える
388,　これを20分ほど蒸し上げるとのこと
389,＊赤身づけ：予め漬け込まれた＇さく＇から、やや厚めにスライスされていく
390,　深紅の色合いが見るからに美味しそう
391,　シャリを包み込むように握られており、旨味が口の中で広がる
392,＊白子：鱈の白子である「雲子」が、形を崩さないように握られている
393,　形が整っている割に、口に入れるとすぐに蕩けてしまうクリーミーさ
394,　もちろん臭みなどは全くない
395,＊中とろ：切りつけて並べられたグラデーションの色彩が美しい
396,　本鮪ならではの、独特の渋みが心地よい
397,＊毛ガニ：いよいよ姿のまま美しく蒸し上がった毛ガニが登場
398,　まだ湯気の立っている熱々が、手際良く捌かれていく
399,　私は蟹の中では繊細な味わいの毛ガニが一番好きだが、如何せんズワイなどに比べれば身を取り出すのが面倒くさい
400,　ご主人はまず足を捥いで殻に包丁目を入れて、俎板に綺麗に並べて見せた
401,　その後で身を丁寧に外し、一人前ずつ間隔をとって盛られていく
402,　足の付け根の部分は、奥の方で女将さんが身を取り出しており、これが酢飯に加えられた
403,　エキスが漏れ出さないように下を向けて蒸された甲羅に溜まった、濃厚な蟹味噌もドバっと混ぜ合わされ、一旦一人前ずつ大皿に盛りつけられる
404,　この酢飯の上に足の身を乗せておむすび状に握られ、これを2つにカットしたものが、２回にわたって各々に手渡された
405,　毛ガニの旨みを余すところなく取り込んだ味わいは、まさに口福の極みである
406,＊炙りとろ：これも＇さく＇のまま炙られたものが＇づけ＇にされており、スライスされた状態はまるでローストビーフのよう
407,　味もそれに近く、多めに添えられた山葵が効いている
408,＊鉄火巻き：ご主人は通常の海苔にさらに半分の幅を付け足し、これに薄く酢飯を伸ばした
409,　この上に先に出された鮪３種の残った部分を、びっしりと並べた
410,　はみ出すのではと心配なほどだが、一気に巻き上げてすぐさま人数分にカットしていく
411,　断面はモザイクのように鮪の身が折り重なり、頬張れば贅沢な味わいが口いっぱいに広がった
412,＊干瓢巻き：細巻きを4つ切りにカットされて渡される
413,　しっかりとした歯応えが感じられる煮加減で、ここで初めて砂糖の味が登場
414,　＊玉子焼き：海老のすり身と山芋のすりおろしが混ぜて焼かれているとのこと
415,　上品な甘みとねっとりとした舌触りで、デザート感覚で楽しめた
416,　酒の記述が後になったが、蕎麦と違って鮨に酒は不可欠とは言えないが、やはり美味いものには美味い酒が付き物
417,　銘柄は女将さんにお任せだが、その場に合わせた冷酒を次々と出してもらった
418,　出された順に「開運」「五凛」「隆」「日高見」「奥播磨」といったラインナップ
419,　いずれも良かったが、女将さんの笑顔でのお酌となれば美味さも一入である
420,　　まことに充実した時間が流れた
421,　入手が難しいと思われる選りすぐった鮨ネタの数々と、それに見合う手間のかけ方には感心
422,　奇を衒ったような部分もあるが、根底には江戸前鮨の流儀がきちんと受け継がれていることが判る
423,　それにも増して印象に残ったのは、ご主人のキャラの濃さである
424,　巧みな話術に加えて、効果的にネタを披露して客の心を掴んでいく手法は、まさにエンターテイメントと言える
425,　お勘定は4万円近くになったが、総体的な満足度からすれば、決して高くは無いと思う
426,　実に得難い経験をさせていただいた思いである
427,　改めてお誘い頂いたｍさん、ご一緒いただいたｈさんに感謝申し上げたい
428,　なおレビューの内容については、メモを取っていたわけでは無いのでうろ覚えのため、多少いい加減な点があることをご容赦願いたい
429,
430,2017年1月　再訪☆1度目の訪問で感じたこと
431,2度目の訪問で感じたこと
432,そして、今回3度目の訪問で感じたこと
433,御主人のホンキの勇気
434,今日のお鮨からもソレがびしびしと伝わってきた
435,何と言われようと貫く
436,自分のやりたいこと
437,信じていること
438,本気で
439,勇気を持って
440,あぁ、今の自分に全速力で足りていないことなものだからそんな御主人のソレをびしびしと感じながらいただいた3度目の訪問でのお鮨
441,ただ、自分の中でのツボというか好みというか
442,そういうものとは、いくばくのズレを感じる瞬間も多々あったのは否めず
443,スタートからエンドまで飽きさせない御主人のトーク・握りは流石だし、チャーミングな女将さんも素敵だ
444,こちらの気持ちが、御主人のホンキの勇気に追いつけていなかったのかもしれない
445,難しい
446,でも、流石は初音鮨
447,美味しい記憶にぺっとりと残る「スゴイネタ」が散りばめられていた
448,キョウイチはなんといっても、愛媛4
449,1キロのシラカワ
450,高級魚の白甘鯛、なかなか食べる機会もないけれど、、、水分を抜いて酢で洗い昆布〆して20日間熟成させたというシラカワはまるでハムのような食感
451,ここまで旨味が凝縮していると、少しだけ噛むだけでも相当な満足感が得られる
452,もともと水分量が多い魚であり、そのしっとりとした感じが美味しいものなのだと思っていたのだけれども、いやーーー、初体験
453,凄かった
454,食感、香り、旨味
455,シャリが少し落ち着いてきた頃合いの酢の加減とこのシラカワの旨味がとてもよく合っていたように感じる
456,そして天然鰻
457,希少な食材をありがたく、いただく
458,香ばしさ
459,そして香り
460,脂
461,香りが特にたまらん
462,鮪も相変わらず豪華絢爛
463,太巻きは今までで一番豪華で立派な太巻きだった気がする(笑)これぞ、シアワセ巻
464,根室の毛蟹を使った握りは今回は正直ちょっと、いまひとつ
465,ほぐした毛ガニの身と味噌と一緒にシャリに合わせているのだけど今まで頂いた中で一番、味に深みがなくシャリの水分量が大幅にアップ
466,なので水っぽくて旨味があまり感じられなかった
467,毛蟹の繊細な上品な味が少し勿体ないかな
468,今回もおなかいっぱい
469,"ごちそうさまでした～●本日の握り(32,400円）・千葉勝山アオリイカ・先のアオリイカゲソを焼いてたたきカラスミと一緒に・淡路天然鰻1キロオーバーを地焼きで★・大分赤貝、そのひもと一緒に・三重尾鷲カンパチ・愛媛しらかわ4"
470,1キロを20日間熟成で★・淡路由良の鯖を〆サバで・千葉船形でとれた45キロのクエ・余市のあんきも・鮪赤身を漬けで★・羅臼寒鱈の白子(くもこ)・中トロ・根室毛蟹、身と味噌を一緒に・炙りトロ・鉄火巻き・かんぴょう巻き・玉子焼き(今回特にツボだったお料理＝★）
471,ずっとず〜っと行きたかった初音さん
472,レビューを見て、良いなぁ良いなぁと妄想を膨らませていました
473,蒲田までの道のり・・ちょっと遠いけど、ワクワクが止まりません
474,全く苦じゃない
475,むしろ嬉しい
476,お昼ですが、夜と同じメニューを提供しています
477,たくさん食べてたくさん飲むなら、お昼の方がむしろ都合がいい
478,お店までの道のり・・広々とした空、抜けるような青空、、さらにいい気持ちに
479,入店順に席につけるそうなので、今日は15分前にはお店についていました
480,ご一緒くださった方は常連さんなので、大将にご挨拶を済ませ、、女将が季節ごとにデザインすると言う、センスのいい玄関の先で開店を待ちます
481,12時になり、入店順に席に案内していただけます
482,飲み物の注文やお寿司も入店順に回ってきます
483,そして大将の前に座れるので、最後より、最初の入店の方がいいなと思います
484,一番最初にお寿司をいただけるしね
485,
486,まずはシャリから
487,温かいシャリから、冷めていくまで、味の変化を楽しんでほしい、ということで・・それから烏賊、温かいシャリの上で身を溶かして・・肝を乗せて・・三本指で持って、くるっと口の中へ入れる、５秒待って、唾液が出るのを待ちます
488,そして噛む・・う〜〜〜〜
489,悶絶
490,
491,お、、美味しすぎる・・
492,
493,この日は、松茸、白トリュフ、伊勢海老、いくら、大間のマグロ、うなぎ、いくら・・と高級食材のオンパレード特に、白子と白トリュフ・・この組み合わせは、、、もう、、、変態としか言いようがない
494,思い出すだけで涎が溢れちゃう・・早く口に入れたくて写真どころじゃなかったです
495,美味しいだけじゃない
496,大将のこだわり
497,何度で何分湯通ししたら美味しいのか
498,そんなことを考えている変態は僕です
499,とおっしゃっていました
500,劇場型のお寿司やさん、いろんな知識をくれて、つい笑っちゃう、寄席のような・・知らないお客さんとでも一緒に楽しめる
501,そんな大将のサービス精神と、女将の細やかな心配り
502,そしてそして・・大将の、女将さんに対する愛が伝わってきました
503,ハァ〜可能ならまた行きたいな
504,本当に、大好きになってしまいました
505,
506,妻と再訪
507,前回を凌駕し、極めて良かった
508,店を辞し、太陽を浴びた時に頭に浮かんだのが、『絶影』の２文字
509,今回で惚れてしまった
510,
511,『鮨なんてなぁこういうもの、とは考えない
512,　もっと楽しくなるはずだし、もっと美味しく　なるはずなんです
513,』と真摯な言葉を放つ中治さんの真価に、前回より少しだけ深く接する事が出来た様に思います
514,沈黙か呻くかしかない、という如何ともし難さ
515,もう口を動かしたくないという満ち足りた感情
516,前回も鮨を極限まで高める素材、温度技術、熟成技術は鮮烈に感じた
517,でも本当は、初心に忠実ではありながら、もうひとつ、鮨をぶっ壊すようで創っているような感覚も欲しかったんだ
518,今回は感じた、感じたよ（＾ω＾）味覚・聴覚・視覚・嗅覚・触覚、さらに心覚
519,いやあ、生きてて良かった
520,今回は妻を連れて行けたのも、本当に良かった
521,きっと皆さんにもそんな食体験があるはず
522,
523,感じたママを流れのママに記述したところ、流石に長くなりすぎました
524,なので、先に献立だけを一覧記載
525,献立以降の文章は、当店ファンの方、絶影のニュアンスをお感じ頂ける方とだけでも共感できたら嬉しいかな
526,という自己満足です
527,（絶影自体は古代の名馬です（笑））《2016年10月下旬・土曜ランチの献立》◽️酢で締めて骨髄の溶け出した『コノシロ』◽️『戻り鰹』のネットリとしたハラカミ◽️小柱とヒモを織り込んだ大振りの『赤貝』◽️生キャビアをぶっかけた甘すぎ『ダルマイカ』◽️地焼きにした立派な体躯の『天然鰻』◽️舞妓の頬を思わせる『肝』を乗せたカワハギ◽️大間の本鮪の『赤身』の黒々とした漬け◽️脂を蓄えた旬の『鱧』と大振りの『松茸・傘』◽️脂を蓄えた旬の『鱧』と大振りの『松茸・軸』◽️『お吸い物』〜松茸と鱧を鱧アラ・昆布出汁で◽️大間の本鮪の『中トロ』を塩で◽️シャリにそのまま乗せる卵ご飯味の『イクラ』◽️介党鱈『白子』と鮮烈な香りの『白トリュフ』◽️身が薄橙色で、『生きた伊勢海老』のすべて
528,◽️大間の本鮪の『大トロ・漬け炙り』◽️前より断然旨かった『ザ・蒲田ロール』◽️徐々に現実に引き戻す『かんぴょう巻き』◽️数時間じっくり火にかけたであろう『たまご』以下は後々細部まで思い出す為の個人記録です
529,ごめんなさい
530,でも、鮨屋でこれだけ言葉がとめどなく溢れたのは初めてかもな〜(´･_･`)✳︎
531,のれんをくぐり、小上がりに腰掛けている間、気がついたのは、魚に加えて海藻らしき香りが漂っていたこと
532,おや今日は昆布でも出てくるのかしらと、この後の展開を予測したが、後刻驚きの正解を知ることとなる
533,今回も出来立て赤酢シャリの味見から始まります
534,◽️このしろ（静岡・御前崎）　酢で締めて寝かせてから５日目の昼だという
535,　小骨も溶けて骨髄が身に沁みわたった頃合い
536,　ここでもう意識がフッと別次元へ
537,　こりゃすげぇ、バリくそ旨い
538,　このしろの大きさだからこそ、これだけ骨髄的　な旨みが出るのだろうか
539,まだ米もバリ立ち
540,　まずは技量の高さを完全に思い出させられる
541,◽️戻り鰹（気仙沼）　腹上を湯洗いして、贅沢に厚く切り落として
542,　皮の黄金色がこの後起こる味の爆発を六感させ　脂の織り成すグラデーションが眼を歓ばせ、　鰹の旨みとこってりした脂が舌を悦ばせる
543,　◽️赤貝（大分）　小柱とヒモを織り込み、香りも旨みも一級
544,　しなやかな歯応えと極微量の渋みが堪らない
545,　貝類を受け付けない妻も、前の２貫の旨さに　やられ、拒否できず、美味と申していました
546,と、ここで大間の黒いダイアモンドが登場
547,２１５キロの立派な個体をおろしてゆくわけだがこのブ厚くて頑丈な皮を力強く切り裂いていく、ゴリゴリした重低音に耳まで歓びを感じる訳だ
548,血合いを１キロ以上落とし、赤身と中トロを切り出し、大トロは別の１８８キロの個体から
549,鮪のパフォーマンスはここで一旦終了
550,◽️ダルマイカ（佐賀・呼子）生キャビア乗せ　ダルマイカは特に甘い
551,そのダルマイカに対し　縦から横から斜めから、細かく切り目を入れて　ゆく
552,先ほどの鮪とは打って変わって、無音で　包丁が入ってゆくさまを無心に眺める
553,
554,　眼で聴いているかのような感覚に、時の進み方　が変わったような怪しい感覚すら覚えるが、　親方は『舌で極力多くの甘みを感じて欲しい』　と、接触面積を極大化する作業を丁寧に進め、　そして取りいだしたるは、仏産の生キャビア
555,　唐墨ではなかった
556,懇意のフランス料理店から　分けてもらっている貴重品らしいが、こいつを　惜しげもなくイカに乗せてゆく
557,　さすがにイカが負けるのでは
558,と思ったが、　とんでもなかった
559,とんでもなく旨くて甘い
560,　いか甘い
561,もう口を開けて喋りたくない
562,　これはもう、このまま口をじっとさせてたい
563,◽️天然鰻（秋田）　
564,１
565,６キロの個体を豪快に串で地焼きに
566,　これを包丁で分けて行く際の、パリパリとした　音がまた美しいわけだ
567,音まで旨いわけだ
568,　季節的に端境期と思ったが、脂はまだそこまで　乗り切っておらず、比較的さっぱりめに味わう
569,　って書くと、あれ
570,あんまり
571,て思うかもだが　違うのよ
572,大きな個体だからこその熟した旨み　がハッキリ目に味わえるから、これはこれで、　なかなかどうして旨いと思えたのです
573,　ただ、脂が乗り切った個体に比べると
574,
575,
576,ここでおもむろにカワハギの身を切り、熱した大皿に盛り付け、身を温めてゆく
577,はいはい、フグみたいで綺麗だね
578,でも、あれは
579,あれはないのか
580,と、ひと頻り不安な瞬間が持続する
581,・・・敢えてか
582,親方め、敢えて、多めに間を取りやがったな
583,◽️カワハギ
584,肝のせ（横須賀・走水）　親方はわざとらしく腰を落とし、下から何かを　取り出した
585,そう、デカくて色美しい肝だ
586,　京都の舞妓の、少し昂揚したような白と薄紅
587,　ふざけんな旨そうすぎる
588,そう叫びたくなる
589,　これをまたかなり大きく切り落として、ひとつ　一つ身に乗せてゆく
590,とんでもないサイズだ
591,　親方は気付いていただろうか
592,　この握りを口にして、誰一人、言葉をする者が　いなかったことに
593,否、誰か、何かしらの声は　発した
594,しかしそれは言葉ではなかったのだ
595,　口内のこんな一体感
596,沈黙か呻くかしかない
597,　次いで鱧に包丁を入れ始める
598,鮪、（烏賊）、鰻と、今回は美しい音が続いた
599,鱧もまたそうで、僕はこれの音が一番良かった
600,ザリザリっと、軽すぎも重すぎもしないが、早めのリズムで刻まれる白身
601,国産の鱧の旬は実は９月〜１１月らしい
602,こいつを湯がきに戻った厨房から次いで持ってこられたのが、巨大な国産の松茸
603,ハモに松茸、何かやる気だなと思いつつ、至極立派な松茸には溜め息しか出ない
604,仕込んでゆく最中の沸き立つ香りにも、もう何かが麻痺しそうである
605,と、ここで松茸も一旦厨房へおしまいになられ、アレ
606,じゃあ次は何を食べれるの
607,と、駄目駄目な坊ちゃんのように指を咥えて待っていると
608,◽️本鮪・赤身の漬け（大間、215キロ）　てっきり忘れた頃に黒々と漬け上がった姿で　出てきた
609,大皿に並べられている姿がまるで　重戦車のようで凛々しい
610,味わいも、ズンと　重たそうなのに重たくない
611,濃厚な旨みだけが　口の中でシャリと一体的に広がってゆく
612,　シャリも落ち着いてきたようだ
613,◽️鱧（淡路）と松茸の傘（岩手）◽️鱧（淡路）と松茸の軸（岩手）　こんな贅沢な握りを２貫、連弾で食らう
614,　旬の鱧についた少しの脂が松茸の旨みを補強、　互いに引き出しあっている感覚
615,　この極度に上品かつ鮮烈な香りが鼻を抜ける　瞬間、鮨屋に来たことを忘れてしまう
616,　傘と軸とで食感と香りの違いが味わえるのも　楽しい趣向でついつい嬉しくなってしまう
617,と、ここで、おもむろに置かれたるは割り箸
618,曰く『初音で箸を出すのは実に10年ぶりのこと』『ずるずると、やってください』と
619,何だ
620,◽️鱧と松茸の土瓶蒸し風お吸い物　こう来たか
621,
622,入店時に感じた昆布の香りは、　こいつのものだったか
623,鱧の骨・中落ち・アラ　で出汁を取り、昆布は水出ししたそうだ
624,　真昆布をしっかりと多めに使っていると思われ　スッキリ澄んでいながらも旨みは濃厚
625,　握り２貫からのお澄まし
626,こんなにも贅沢に　鱧と松茸を楽しんだことなんてなかった
627,　初音鮨も、このまま出汁使いに手を広げても　面白いかもなぁ
628,昆布出汁で色々湯がいたり
629,◽️本鮪の中トロ・塩（大間、215キロ）　存外に旨かった出汁をすすり、ぼうっとして　いると、間髪入れずに主役級がまたしても
630,　肉は塩で食べるのが一番なのに、魚はなんで　塩で食わしてくれないのかなぁなんて思って　いたりもしたので、王者級の中トロをシンプル　に塩で握ってくれて有難うございました
631,　やっぱりな
632,寝始めたシャリとも相まり激旨
633,さて、ここまでのところだけでも割と満足感に浸れる内容なんだが、親方はまだ僕らを休ませてはくれない
634,怒涛の如く、影を絶つがごとく、次なる大物に手をかける
635,生きた伊勢海老が堂々たる姿をあらわとする
636,生きている個体でないと出来ない料理をすると
637,と、何を思ったか、親方がこいつに日本酒をガブガブと飲ませ始める
638,締める前に寝かしてやるのだそうだが
639,天狗舞の限定バージョン『五凛』の純米酒を呑ませてるよ
640,何を考えているノ
641,と、大人しくなった伊勢海老はものの１分で解体され、大部分の身は取り外され、粗めの叩きに
642,残りは『温泉』に浸かるため厨房へ（笑）身の色が暖色だったが、脱皮前の特徴だそう
643,親方はその色を桜と表現したが、僕の目には最近よくみる『ナガミヒナゲシ』のような薄い橙色に映り、美しく思った
644,生きた伊勢海老じゃないと出来ない料理を魅せると親方が言ったが、その意味はもう少しあとから分かるとして、ここでマジの想定外が発生
645,親方が、さっき伊勢海老に呑ませた日本酒で、みんなで乾杯させてくれ、と言うのだ（笑）親方と他のお客と乾杯
646,タダ酒最高である
647,（後の用事もあり、お酒は注文していなかった）しかも、この五凛、一度伊勢海老の体をくぐらせただけなのに風味がついてた
648,あーこの酒旨ぇ
649,
650,◽️いくら（北海道）　伊勢海老が仕込みに入り、いくらの登場
651,　大皿にハート型に盛られている
652,これが皿を　傾けても一向にずり落ちやしない粘度
653,　北海道産、年内は10月がラストチャンスとの　ことだが、これを海苔なしでシャリと握って　ゆく
654,ぽいと頬張ると卵かけ御飯の味（笑）　卵（ラン）は卵の共通味があるのだろうか
655,　でもこれって本来のいくらの旨みなんだろな
656,◽️介党鱈白子（根室）の白トリュフがけ　アー
657,　鮨屋で白トリュフなんて出さんでくれ
658,　目の前でその巨大塊をスライスせんでくれ
659,　めっちゃ良い香りが強烈すぎて、介党鱈白子に　独特の生臭感なんてもう一瞬で滅亡
660,　旨みだけニョキっと炙り出され、とにかくもう　創造的破壊
661,これ、今は敢えて虎河豚じゃない　んだろうなー
662,でも虎河豚も合うだろうね
663,
664,　白子に白トリュフの組み合わせは僕には初めて　だったので、もう、鮮烈かつ清冽でしたね
665,◽️活きた伊勢海老の全て（三重・伊勢）　未だに理屈はよく分かってないんだが
666,　締めたての個体が尾ひれを動かすのと同様に、　溢れる体液もまた自律する
667,だから、煮こごり　と同じ働きで、落としたての頭は、実に瞬時に　コラーゲン化する液体に守られるため、お湯に　放ってもミソの旨みが流れ出ないんだそうだ
668,　その証左に、親方の手の甲にはコラーゲンが
669,　ま、それはともかく、鮮やかな山吹色のミソと　これと一緒に湯がいた身を細かく叩いたもの
670,　こいつを先ほどのナガミヒナゲシ色の粗め叩き　をレア焼きにしたものに乗せて
671,　時節柄、ハロウィンのパンプキンのようだ
672,　味については多くを語るまでもない
673,　誰だ『伊勢海老は大味』なんて言った奴は
674,◽️本鮪の大トロの漬け炙り（大間、188キロ）　究極的に甘い香りを放つ、締めの逸品
675,　漬けて炙って、な肉だか魚だか分からない　中性的な握り
676,（笑）蕩けるという日本語は　このために在ると云っても過言ではない
677,　手をかけた分、鋭角の甘み旨みが溢れる
678,
679,◽️蒲田ロール　フィナーレ
680,今までの赤身・中トロ・大トロ　を、全くもう、また惜しげもなく巻物に
681,　旨いに決まってるんだが、前回より圧倒的に　旨かったなぁ
682,これだけテイクアウトしたい
683,◽️かんぴょう巻き　エンドロールです
684,◽️たまご　ここで、数時間じっくり焼き上げたであろう、　『オマケ映像的な』なんて言えない逸品で了
685,これだけ絶賛しておいて4
686,8点にしたのは訳があって
687,鰻に関してだけは、個体もさりながら、焼きが東向島のほうが良いと感じたからなのだ
688,あっちにも年末伺うので、どう感じることやら
689,とはいえ4
690,6以上をつけたのは初めてです
691,次回はまた先になりそうだが、がぜん待ちます
692,でも今は、次回も同じように感動できるのか
693,が不安です
694,それだけ、良かったので
695,ーーーーーーーーーーーーーーーーーーーー（2016年5月初訪　旧題・なんすかここは
696,）タイトルは褒め言葉のつもり
697,忘れもしない４月１日、１２時になった瞬間に電話をかけまくり、７４回目のコールでやっとこさ繋がりましたが、既に夜８時からの部は、日程が２つしか空きなしという状況でした
698,そんなことを話していたら、俺は２００回もかけましたよ
699,なお客さんもいました
700,ひょうきんを演じる親方オンステージで、緊張とはかけ離れた空気感のなかで進行していく、素晴らしい握りの数々に舌鼓を打ちました
701,酒は飲まぬと誓って行きましたが、魔が差して頂いた女将チョイスの日本酒がまた旨くて
702,『うちはつまみは出しません
703,　握りで呑ませてみせましょう』との売り言葉にもつられ、３種類ほど頂いてしまいました(´д`
704,)素材・温度・熟成度の整った鮨屋と思います
705,口内調理で完成させる、という考え方のようで食べ方も最初に指南されました
706,赤酢使いのシャリに対する温度管理に始まり、ネタの寝かせ方・温度調節にも強いこだわりが
707,そんな鮨屋ではありつつも、数々のネタに対する僅かな火入れの感度・センスが素晴らしい
708,シャリも時間とともに立ちが変化して面白い
709,お客の味覚感度を上手に増幅する接客術も流石
710,ウワッ旨い、ひゃー旨めぇー、ああ美味しい、そればかり繰り返していました
711,鮪のみで６貫＋豪華鉄火巻き
712,天然鰻に黒鮑に毛蟹と、至れり尽くせりの18貫
713,うーん、黒鮑の肝、煮蛸、旨かったなぁ
714,
715,
716,■旨みの抜群な煮蛸@佐島■ツヤっぽい唇のような色の桜鯛@明石■艶かしく身をくねらせる活鳥貝■生ハム風味すらある寝かせ縞鯵@佐島■どでかい黒鮑＆その蒸した最高の肝@千葉■完璧な味の赤身＆その漬け@甲浦■冬よりは痩せるも身の太い天然鰻@琵琶湖■少し火入れして人肌未満に冷ました紫雲丹■美しいグラデーションの中トロ＆その漬け　@西舞鶴■アオリイカと女将自家製カラスミ■でっかい毛蟹のミソをシャリに練り込んで、　ほぐした身を贅沢に乗せた巨大手鞠
717,@北海道■大トロ＆その漬けの炙り
718,見た目は最早、鴨肉■赤身・漬け・中トロ・漬け・大トロ・炙りが　全部入った鉄火巻き
719,海苔は飛優
720,■かんぴょう■玉子散財覚悟で１０月に予約を入れちまいました
721,今から500円玉貯金だぜ
722,
723,2016年10月11日(火)に、4回目の訪問は夜8時の部
724,秋の素晴らしい食材祭り
725,気仙沼の漬けカツオ佐賀のプリプリイカ生ハムみたいな白甘鯛琵琶湖の天然うなぎ肝たっぷりのアワビ大間のマグロ
726,赤身
727,塩と漬けと食べ比べ淡路島の鱧と岩手久地のまつたけ大間のマグロ
728,中トロ
729,塩と漬けと食べ比べ根室のハートいくら生きていた伊勢海老大間のマグロ
730,大トロ漬け炙りマグロオールスターズ巻スイーツみたいなかんぴょう巻カステラみたいな卵焼きどれも凄すぎたのですが、今回のno
731,
732,1は、鱧とまつたけ
733,
734,
735,あ〜、美味しかった
736,
737,
738,次は、冬の美味しいもの食べに来ます
739,3回目の訪問はランチで
740,昼営業は土曜のみ
741,初めて行った時は、人差し指と中指と親指に握りをのせてネタを下にして舌にあてて5秒経ってから噛むなどのルールにドギマギしたけれど、慣れると楽しい
742,大将の喋りも落語家みたいで面白い
743,見た目も落語家みたいだし(笑)
744,シャリの味見から
745,シャリの温度が高いうちはあっさりしたネタ
746,温度が下がっていくと漬けなどの味が濃いネタ
747,佐島のタコ、歯ごたえがすごい
748,こんなガムがあったらずーっと食べていたい(笑)
749,甘鯛が生ハムみたいで美味しかった
750,鯛をこういう風に食べられる店は他にしらない
751,日本酒も合うけど、このネタは白ワインにも合いそう
752,ばちこ(干しくちこ)をサンドしたイカ、これは間違いなく日本酒
753,肝がたっぷりサンドされたアワビの芳醇な旨味もよかった
754,琵琶湖の天然ウナギの肉厚さは見たことないくらい
755,身がふっくら、皮がパリパリ、いくらでも食べれそう
756,そして、この店は何と言ってもマグロが凄い
757,赤身、中トロ、大トロを塩と漬けで食べさせてくれる
758,マグロを塩で食べてみると魚の味がしっかりわかる
759,その後にでる漬けとのバランスが口の中で面白い
760,その日にでたマグロのネタが全部入ったマグロオールスターズ巻、大好きです
761,いつか、まるまる一本食べるのが夢です(笑)
762,昼に食べて、夜まで胃袋が満足すぎて夕飯たべませんでした
763,
764,今日来れたのは奇跡としか言いようがありません
765,予約難易度が最も高い初音鮨ですが、駄目元で留守番電話にキャンセル待ちの連絡を入れたら翌日かかってきたのです
766,一人なら予約できるそうです
767,
768,ラッキーでした☆外見はお寿司屋さんのイメージは全くないです（笑）店内では大将の奥様である女将さんが丁寧に案内してくれました
769,そして大将の登場です
770,まず最初にシャリだけを味見してもらいたいと手に乗せてくれます
771,ココは握ったお寿司は全て手渡しです
772,そして握る前に必ずネタを見せてくれて、一つ一つ丁寧に説明してくれます
773,時折ギャグを入れてお客様を笑わせたり、お茶目な一面もあります（笑）ただ、寿司を握ったり、ネタをさばいたりする姿は真剣そのものでカッコいいです
774,まずは蛸から始まり、鯛、烏賊と続きます
775,そして特大の鮪がどーーんと来ました
776,圧巻です
777,
778,鮪と一緒に記念写真☆その後、鮑、天然の鰻、そして先ほどの鮪の赤身と赤身の漬けを頂きました
779,まだまだ続きます
780,鮪の中トロと中トロの漬け、鱧、伊勢海老、いくら、大トロ、大トロの炙り、太巻き、かんぴょう巻き、最後に玉子
781,いやー、最高に美味しかったです☆鮪のとろける美味しさ、初めて食べた天然鰻、鱧と松茸の贅沢なハーモニー、カステラのような玉子
782,日本酒を２杯飲んで、それなりにお値段はしましたが、値段以上の価値があります
783,
784,５月に行った、ミシュラン三ツ星の「鮨よしたけ」と比較したくないのでしませんが、やっぱりそれぞれ個性があるんですね
785,大将の情熱を存分に堪能させて頂きました
786,女将さんもありがとうございました
787,いつまでもお元気で
788,
789,
790,3年前に遡りますが、過去1番で素晴らしいお寿司屋さんでした
791,
792,場所は蒲田というまたディープな場所で飲食店街でもなく普通の通りにあるお寿司屋さんです
793,出てくる鮨も一流ですが喋りも超一流でラスベガスでショーみている感覚でしたね
794,今は何回転かするみたいですが、当時は昼営業は土曜しかやってなくて、だから土曜は昼、夜の二部制で私達は昼の部に4名で伺いました
795,待合室で名前呼ばれるまで待機
796,
797,
798,
799,暫くすると品の良い女将さんが中へと案内してくれ確か、半大円形のカウンター8席だったような
800,先ずはビールで乾杯
801,そうすると大将が登場
802,丸坊主でキャラめっちゃ強い方が冗談交えながら色々説明し始めて、この日は外国人の方もいらしたのですが悠長な英語で説明してたねがまた凄い
803,
804,最初、今日使う酢飯をパッと広げて一人一人に味見させながら、シャリの温度と口の中に入れた時の温度を合わせて作っているみたいで、また食べる時は上向いてネタを下に逆さまにして口に入れるのがルールでした
805,最初はイカの上にたっぷりのキャビアを乗せて手渡しですぐに逆さまにして口の中に、めっちゃ旨い
806,ここからは20種類以上の握りネタが登場するのですが貝類、白身どれも一手間加えた握りで
807,個人的には白子の上に鰹節を削るようにたっぷり乗せた白トリュフが1番美味かったですね
808,あれは何一貫でもいけちゃう
809,生きている、伊勢海老に酒をたっぷり飲ませてる時にも酒一気のコールをめっちゃ1人コールしてましたw
810,皆大爆笑でしたね
